# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "8" "-s" "2" "-p" "-t" "transcript" "-g" "gene_id" "--countReadPairs" "-a" "referenceGenome/refgene/hg38.refGene.gtf" "-o" "./counts_matrix.txt" "LOAD/final_alignments/SRR19243439.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243440.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243441.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243442.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243443.Aligned.sortedByCoord.out.bam" "LOAD/final_alignments/SRR19243444.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243478.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243479.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243480.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243481.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243482.Aligned.sortedByCoord.out.bam" "WT/final_alignments/SRR19243483.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	LOAD/final_alignments/SRR19243439.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243440.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243441.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243442.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243443.Aligned.sortedByCoord.out.bam	LOAD/final_alignments/SRR19243444.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243478.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243479.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243480.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243481.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243482.Aligned.sortedByCoord.out.bam	WT/final_alignments/SRR19243483.Aligned.sortedByCoord.out.bam
TACC1	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38728582;38757275;38757275;38757275;38757275;38757275;38757275;38787236;38787236;38787236;38787236;38787236;38787236;38787236;38787236;38788106;38805450;38805450	38751651;38751651;38751651;38751651;38853028;38853028;38853028;38828570;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38853028;38828570;38853028;38853028;38853028;38828570;38853028	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	124447	5447	5575	4171	4951	2998	3267	4351	2905	5467	4024	5275	5718
FBXL16	chr16	692500	705801	-	13302	4461	8790	3998	4018	5104	5220	5787	5207	5452	5498	4585	5988
TMEM150A	chr2;chr2;chr2	85598547;85598547;85598547	85602698;85602394;85602699	-;-;-	4153	79	83	59	89	41	54	98	54	75	76	79	102
IFNL2	chr19	39268396	39270188	+	1793	0	0	0	0	0	0	0	0	0	0	0	0
SLC9C1	chr3;chr3;chr3;chr3_KZ559105v1_alt;chr3_KZ559105v1_alt;chr3_KZ559105v1_alt	112140899;112140899;112140899;24189;24189;24189	112294216;112294216;112294216;186954;186954;186954	-;-;-;-;-;-	316084	0	1	0	1	2	4	0	1	2	2	4	2
TMEM39B	chr1;chr1;chr1;chr1	32072031;32072939;32072939;32072939	32102866;32102863;32102863;32102863	+;+;+;+	30836	381	645	300	246	255	338	322	307	342	413	355	421
C11orf54	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	93741594;93741594;93741672;93741672;93741672;93741672;93741672;93741672;93741672;93741672;93741672;93741672;93741672;93741672;93741672;93746443	93763102;93763102;93764749;93764749;93764749;93764749;93764749;93764749;93764749;93764749;93764749;93764749;93764749;93764749;93764749;93764749	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	23156	282	412	267	243	185	181	376	204	417	288	353	335
TNPO1	chr5;chr5;chr5;chr5;chr5;chr5;chr5	72816591;72816661;72816661;72848139;72848139;72848139;72848139	72914388;72916740;72916740;72866848;72916740;72916740;72916740	+;+;+;+;+;+;+	100150	1565	1903	1826	1543	903	951	1707	986	2641	1877	1411	1931
MIR5585	chr1	32086949	32087007	+	59	0	0	0	0	0	0	0	0	0	0	0	0
QRICH1	chr3;chr3;chr3;chr3;chr3;chr3;chr3;chr3	49029707;49029707;49029707;49029707;49029707;49029707;49029707;49029707	49094071;49093632;49093632;49093632;49093632;49094373;49094373;49094373	-;-;-;-;-;-;-;-	64667	1045	1925	788	701	970	753	1014	1214	1418	1047	1329	1308
SRPX	chrX;chrX;chrX;chrX	38149335;38149335;38149335;38149340	38220924;38220924;38220924;38220871	-;-;-;-	71590	92	106	98	130	38	77	63	22	72	64	40	62
SMC1A	chrX;chrX	53374149;53374149	53422728;53422654	-;-	48580	1024	1612	1099	1020	831	833	1227	754	1155	1026	1024	1084
JUP	chr17;chr17;chr17;chr17;chr17;chr17;chr17	41754607;41754607;41754607;41754607;41754607;41754607;41754609	41786768;41786768;41786768;41786095;41786768;41786768;41786711	-;-;-;-;-;-;-	32162	266	327	206	406	225	186	323	225	332	276	286	555
GPN3	chr12;chr12;chr12	110452486;110452486;110452486	110468284;110468721;110468257	-;-;-	16236	66	83	86	60	36	43	72	39	125	62	53	74
SLC25A24	chr1;chr1;chr1_KV880763v1_alt;chr1_KV880763v1_alt	108134043;108134043;146186;146186	108200343;108192835;205005;212513	-;-;-;-	132629	70	92	58	30	77	54	67	34	82	83	83	94
CASP12	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	104885718;104885718;104885718;104885718;104885718;104885718;104885718;104885718;104885718;104885718	104898670;104898670;104898670;104898670;104898670;104898670;104898670;104898670;104898670;104898670	-;-;-;-;-;-;-;-;-;-	12953	1	1	0	1	0	1	1	0	0	0	0	0
MTMR9LP	chr1	32231660	32241710	-	10051	107	93	57	100	74	67	74	55	69	81	118	113
RWDD2A	chr6;chr6;chr6;chr6;chr6	83193357;83193357;83193357;83193357;83193357	83198935;83198935;83198935;83198935;83198935	+;+;+;+;+	5579	120	217	69	76	89	77	119	110	250	133	141	112
TBC1D14	chr4;chr4;chr4;chr4;chr4	6909444;6909826;6954166;6987209;6987508	7033118;7033114;7033114;7033114;7033118	+;+;+;+;+	123675	2079	2630	1319	2400	1308	1427	2142	1182	1829	2130	1851	2675
DGUOK	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	73926880;73926880;73926880;73926880;73926880;73926880;73926880;73926880;73926880;73926880;73926880;73926880;73926880	73958946;73958946;73958946;73958946;73958946;73958946;73958946;73958946;73958946;73958946;73958946;73958946;73958946	+;+;+;+;+;+;+;+;+;+;+;+;+	32067	379	564	317	314	228	266	323	291	515	437	372	401
GPR108	chr19;chr19	6729914;6729914	6737302;6737622	-;-	7709	276	298	253	286	210	195	368	163	231	217	242	376
CALU	chr7;chr7;chr7;chr7;chr7;chr7	128739359;128739359;128739359;128739359;128739359;128739359	128773400;128773400;128773400;128773400;128773400;128773400	+;+;+;+;+;+	34042	403	607	384	412	265	280	435	292	761	451	470	471
FAM89B	chr11;chr11;chr11	65572538;65572538;65572538	65574190;65574190;65574190	+;+;+	1653	256	401	269	219	214	266	247	243	263	253	263	323
RPP14	chr3;chr3	58306245;58306245	58324697;58320193	+;+	18453	117	168	187	136	93	105	141	110	232	169	115	134
SLC39A4	chr8;chr8;chr8;chr8;chr8_KZ208914v1_fix;chr8_KZ208914v1_fix;chr8_KZ208914v1_fix;chr8_KZ208914v1_fix	144412414;144412414;144412414;144412414;143017;143017;143017;143017	144416844;144416844;144416449;144413585;147447;147447;147052;144188	-;-;-;-;-;-;-;-	8862	1	1	1	0	0	6	0	0	2	8	0	1
FDFT1	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix;chr8_KZ208915v1_fix	11795573;11795573;11795573;11802611;11802611;11802741;11803044;11803089;11807943;11808417;11809144;1508763;1508763;1508763;1508763;1508763;1508763;1508763;1508763;1508763;1508763;1508774	11839309;11839309;11839309;11839309;11839309;11839298;11839309;11839309;11839309;11839309;11839309;1545480;1538950;1540145;1545047;1545002;1539671;1552526;1552526;1552526;1545480;1545350	+;+;+;+;+;+;+;+;+;+;+;-;-;-;-;-;-;-;-;-;-;-	87501	165	239	266	181	110	165	160	71	190	163	136	236
LRTOMT	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	72080331;72080331;72080331;72080331;72080331;72080331;72080331;72080331;72080331;72080331	72096892;72096892;72110782;72110782;72096892;72110782;72096892;72096892;72096892;72096892	+;+;+;+;+;+;+;+;+;+	30452	115	128	64	118	117	98	143	77	95	103	116	170
KY	chr3;chr3;chr3;chr3;chr3	134599923;134599923;134599923;134605940;134605940	134651022;134651022;134651018;134651022;134651022	-;-;-;-;-	51100	743	1276	357	590	709	571	867	505	775	607	660	843
IAH1	chr2;chr2;chr2;chr2;chr2	9474551;9474551;9474551;9474551;9475055	9489727;9489727;9489727;9489727;9489727	+;+;+;+;+	15177	265	465	182	203	247	196	315	226	388	335	318	308
INKA1	chr3;chr3	49803261;49803261	49805030;49805030	+;+	1770	24	33	12	10	16	14	27	22	50	21	17	19
GOLGA8Q	chr15;chr15_KI270905v1_alt;chr15_KQ031389v1_alt;chr15_KI270851v1_alt;chr15_KN538374v1_fix	30552078;2837045;1963602;251876;2724593	30562501;2847468;1974027;262088;2735016	+;+;-;-;+	51911	0	0	0	1	1	0	0	0	0	1	0	0
CPNE6	chr14;chr14;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix	24070837;24071562;371815;372540	24078100;24078087;379078;379065	+;+;+;+	14528	0	0	0	0	0	0	0	0	0	0	0	0
COX7A2	chr6;chr6;chr6;chr6;chr6;chr6	75237675;75237675;75237675;75237675;75237675;75237675	75250298;75250298;75250298;75243801;75243801;75243801	-;-;-;-;-;-	12624	178	269	196	148	103	103	199	113	523	180	173	156
TRIM60	chr4;chr4	165031999;165031999	165041749;165041749	+;+	9751	0	2	0	0	0	0	0	1	0	0	0	0
SPOCK3	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	166733385;166733385;166733385;166733385;166733385;166733385;166733385;166733385;166754086	167234494;167234590;167234590;167234590;167234426;167234590;167234590;167234590;167234494	-;-;-;-;-;-;-;-;-	501206	2907	3145	5651	3634	1372	2104	3515	1934	4409	4389	3109	4894
CABYR	chr18;chr18;chr18;chr18;chr18;chr18;chr18	24138956;24139062;24139062;24139062;24139062;24139062;24139484	24160069;24161600;24161600;24161600;24161600;24161600;24161600	+;+;+;+;+;+;+	22645	191	326	152	135	109	130	181	94	249	205	152	186
BCL2L12	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	49665142;49665142;49665142;49665142;49665142;49665142;49665142;49665142;49665142;49665142;49665142;49665142;49665142	49673916;49673916;49673916;49673916;49673916;49673916;49673916;49673916;49673916;49673916;49673916;49673916;49673916	+;+;+;+;+;+;+;+;+;+;+;+;+	8775	24	34	11	26	21	10	31	11	17	9	26	33
S100PBP	chr1;chr1;chr1;chr1	32817442;32817653;32825313;32825313	32858879;32858875;32858879;32858879	+;+;+;+	41438	491	754	365	525	351	311	558	410	533	503	560	572
KIDINS220	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	8721081;8721081;8721081;8721081;8721081;8721134;8721134;8721134;8728858;8728858;8728858;8728858;8728858;8728858;8728858;8757201	8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613;8837613	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	116533	3297	4792	3170	2569	2806	2332	3455	2316	5582	3755	3470	4400
FAM133B	chr7;chr7;chr7;chr7	92560758;92560758;92560758;92560758	92590390;92590049;92590390;92590390	-;-;-;-	29633	315	421	551	324	229	258	340	224	447	378	289	414
ZNF154	chr19;chr19;chr19	57696275;57696275;57696275	57709204;57709204;57709204	-;-;-	12930	407	516	262	269	328	297	420	313	396	339	362	405
DTD1-AS1	chr20	18674395	18698708	-	24314	0	0	0	0	0	5	0	0	1	2	0	3
TTC23	chr15;chr15;chr15;chr15	99136323;99136323;99136323;99136323	99249581;99251225;99251225;99249581	-;-;-;-	114903	342	323	160	371	251	144	332	166	278	238	418	340
DHFR	chr5;chr5;chr5;chr5	80626226;80626226;80626226;80626226	80654983;80654983;80654983;80654983	-;-;-;-	28758	125	211	237	122	85	159	123	105	198	193	151	188
MTRF1L	chr6;chr6;chr6;chr6;chr6;chr6;chr6	152987362;152987362;152987362;152987362;152987362;152987362;152998294	153002709;153002709;153002709;153002709;153002709;153002709;153002815	-;-;-;-;-;-;-	15454	115	171	116	125	71	58	114	57	154	101	115	114
SLC22A8	chr11;chr11;chr11;chr11	62992824;62992824;62992824;62992824	63015845;63015845;63015845;63015841	-;-;-;-	23022	127	62	2	2	22	9	23	1	30	11	27	9
SSTR3	chr22;chr22	37204237;37204237	37212477;37210689	-;-	8241	239	500	208	143	196	241	244	248	443	252	208	305
FXN	chr9;chr9	69035752;69035752	69079076;69079076	+;+	43325	189	315	137	163	174	175	230	176	266	237	198	235
SLC4A10	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	161624335;161624335;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416;161624416	161985276;161985276;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269;161985269	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	360942	4949	9065	6582	2608	3240	4734	3927	3996	10291	7760	4935	6623
ADTRP	chr6;chr6	11713655;11713655	11779047;11779047	-;-	65393	28	22	10	7	24	21	25	20	19	26	44	18
PLEKHH1	chr14	67533290	67589612	+	56323	2628	3776	1467	2387	2916	1855	3343	3848	4031	3399	6324	4627
USP39	chr2;chr2;chr2;chr2;chr2;chr2	85602861;85612103;85612103;85616186;85616186;85616186	85649283;85649284;85649284;85649283;85649283;85649283	+;+;+;+;+;+	46424	302	464	315	242	229	226	351	305	432	322	367	389
ASZ1	chr7;chr7;chr7	117363222;117363222;117363222	117427493;117427493;117427493	-;-;-	64272	1	1	0	0	0	0	0	1	1	0	0	1
APBB2	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	40810027;40810027;40810027;40810027;40810027;40810027;40810027;40810027;40810027	41214542;41214542;41214542;41214542;41214542;40857155;40857155;40857192;40857192	-;-;-;-;-;-;-;-;-	404516	4343	5256	4277	4171	2726	3455	4167	3025	4200	5706	4824	4981
TSACC	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	156337314;156338526;156338526;156338526;156338526;156338526;156338526;156338526;156338526;156338526;156338526;156338902	156346994;156346994;156346994;156346994;156346994;156346994;156346994;156346994;156346994;156346994;156346994;156346994	+;+;+;+;+;+;+;+;+;+;+;+	9681	0	4	2	1	3	2	0	1	0	0	1	2
YPEL1	chr22;chr22	21697537;21697537	21735794;21735794	-;-	38258	878	1043	469	677	690	768	865	540	551	873	683	961
PHACTR1	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	12716767;12716767;12716767;12716767;12716767;12717607;12718293;12718699;12957307;12957356;12957486;12957977;13013554	13253426;13289688;13289688;13290467;13290467;12904006;13290467;13287843;13289688;13287843;13287843;13289688;13289688	+;+;+;+;+;+;+;+;+;+;+;+;+	573701	17828	25747	14322	8747	10891	15524	13387	10988	19135	21492	13829	17522
MORF4L2	chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX;chrX	103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498;103675498	103688158;103686818;103686818;103688158;103688158;103686818;103686818;103686818;103688158;103686818;103688158;103688158;103686818;103686699;103688158;103688158	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	12661	670	1738	887	613	610	613	859	846	2319	1066	790	1154
MIR31HG	chr9;chr9;chr9;chr9	21454268;21454268;21454268;21454268	21559798;21559798;21559798;21559798	-;-;-;-	105531	826	1200	954	512	705	1072	825	591	1087	1295	850	1176
CASC2	chr10;chr10;chr10	118046821;118046821;118046821	118210153;118210153;118100136	+;+;+	163333	588	719	249	435	366	275	437	302	586	504	725	543
MAP7	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	136342281;136342281;136342281;136342281;136342281;136342281;136342281;136342281;136342281;136342281	136526213;136466875;136550819;136526710;136526606;136526213;136526213;136550819;136526606;136550819	-;-;-;-;-;-;-;-;-;-	208539	5073	7303	6218	5937	3385	4441	5112	3958	6494	7798	5640	7861
EPHB6	chr7;chr7;chr7;chr7;chr7_KI270803v1_alt;chr7_KI270803v1_alt;chr7_KI270803v1_alt;chr7_KI270803v1_alt	142855014;142855076;142862017;142862756;878070;878132;885061;885800	142871093;142871093;142871093;142871093;894136;894135;894136;894136	+;+;+;+;+;+;+;+	32147	469	964	429	294	346	410	463	532	801	444	551	603
PMS1	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	189784085;189784085;189784085;189784085;189784450;189784450;189784450;189784450;189784450;189784450;189784450;189784450;189784450	189877629;189806846;189877629;189877629;189877629;189877629;189877629;189807053;189877629;189877629;189877629;189877629;189877629	+;+;+;+;+;+;+;+;+;+;+;+;+	93545	763	890	668	623	366	489	625	415	1135	849	552	898
MUC6	chr11;chr11_KI270902v1_alt;chr11_KI270927v1_alt;chr11_KQ759759v1_fix	1012823;75566;82414;280	1036718;106283;111111;24175	-;-;-;-	107208	0	0	0	0	0	0	0	0	0	0	0	0
TRIM62	chr1;chr1	33145399;33145402	33182043;33176550	-;-	36645	329	486	240	345	323	271	397	280	336	395	417	369
SNAPC2	chr19;chr19	7920338;7921015	7923250;7923250	+;+	2913	83	146	85	78	82	66	107	77	137	96	83	139
CCL3	chr17;chr17;chr17_KI270909v1_alt;chr17_KI270909v1_alt;chr17_KI270857v1_alt;chr17_KI270857v1_alt	36088256;36194870;42354;237047;323131;429774	36090143;36196758;44240;238089;325017;431662	-;-;-;-;-;-	10483	3	4	0	0	2	0	0	0	0	0	1	0
SLC28A1	chr15;chr15;chr15;chr15;chr15;chr15	84884661;84884662;84884662;84884662;84884662;84884662	84945796;84975647;84975647;84945798;84945798;84896046	+;+;+;+;+;+	90987	11	15	5	12	19	14	6	11	15	6	16	24
MIR3605	chr1	33332393	33332492	-	100	0	0	0	0	0	0	0	0	0	0	0	0
CIB1	chr15;chr15;chr15;chr15	90229975;90230245;90230245;90230245	90233941;90265759;90234047;90234155	-;-;-;-	35785	172	315	126	209	97	108	181	134	198	131	164	218
ZSCAN31	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	28324738;28324738;28324738;28324738;28324738;28324738;28324738;28324738	28336375;28336375;28336134;28356271;28336134;28354204;28336375;28336375	-;-;-;-;-;-;-;-	31534	314	846	517	449	213	483	250	199	384	604	198	711
NRG4	chr15	75940936	76012424	-	71489	61	150	101	47	201	95	119	170	265	195	187	222
SLC10A7	chr4;chr4;chr4;chr4;chr4;chr4;chr4	146253981;146253981;146253981;146253981;146441666;146441666;146513897	146521940;146521940;146521940;146521940;146521971;146521971;146521940	-;-;-;-;-;-;-	267991	697	827	543	709	280	377	623	329	754	834	572	865
TMEM222	chr1;chr1;chr1;chr1	27322145;27322245;27322245;27322245	27336400;27336400;27336400;27336400	+;+;+;+	14256	357	529	290	307	273	300	363	279	460	348	383	408
KIRREL2	chr19;chr19;chr19;chr19;chr19	35856911;35856911;35856911;35856911;35856911	35867136;35867136;35867136;35867136;35867136	+;+;+;+;+	10226	3	5	0	0	2	2	1	4	1	2	5	2
PWWP2B	chr10;chr10	132397200;132397200	132417854;132417854	+;+	20655	385	653	289	350	240	415	370	290	348	401	318	471
ZNF655	chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7;chr7	99558422;99558422;99558422;99558642;99558825;99558825;99558825;99558825;99558834;99558834;99558834	99564705;99564705;99576456;99576453;99576456;99576456;99564705;99564705;99576456;99576456;99576456	+;+;+;+;+;+;+;+;+;+;+	18035	1310	1564	1296	1171	1175	1151	1362	940	1724	1414	1194	1470
CCDC167	chr6	37482938	37499893	-	16956	73	113	62	71	69	89	86	56	76	114	76	109
TAS2R4	chr7	141778489	141779388	+	900	34	44	32	45	12	39	30	8	34	36	35	46
TAS2R3	chr7	141764097	141765197	+	1101	44	74	37	47	28	56	40	22	49	51	32	53
CHADL	chr22	41229513	41240931	-	11419	415	589	223	321	357	215	319	429	503	280	407	411
NEUROD4	chr12	55019974	55030017	+	10044	3	3	0	2	1	0	0	0	4	2	1	1
PSMD5	chr9;chr9	120816054;120816054	120842922;120842922	-;-	26869	248	407	220	201	149	147	298	232	408	291	304	348
CSMD2-AS1	chr1	33868956	33885458	+	16503	0	2	0	0	1	5	0	2	0	0	0	3
IFITM1	chr11	314040	315272	+	1233	182	94	64	162	39	24	260	48	100	217	167	274
OR1A2	chr17	3197517	3198448	+	932	0	0	0	0	0	0	0	0	0	0	0	0
HEATR3	chr16;chr16;chr16;chr16;chr16;chr16	50065970;50065970;50065970;50065970;50065970;50065970	50107272;50107272;50107272;50107272;50107272;50107272	+;+;+;+;+;+	41303	368	665	342	252	254	316	385	389	562	477	407	532
ZNF687	chr1;chr1;chr1	151281522;151282299;151282299	151292172;151292172;151292172	+;+;+	10651	323	635	330	288	286	229	410	340	483	309	453	468
ST3GAL4	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	126355686;126355686;126355686;126355686;126355686;126356012;126356012;126356012;126403416;126406087	126414638;126414638;126414638;126414638;126414638;126414638;126414638;126414638;126414641;126414638	+;+;+;+;+;+;+;+;+;+	58956	986	1221	727	717	609	774	734	659	834	1132	895	993
SMIM12	chr1;chr1;chr1;chr1	34850362;34850362;34850362;34850362	34859749;34859749;34859749;34859045	-;-;-;-	9388	249	485	301	222	201	255	277	198	422	354	282	332
POTEG	chr14;chr14	19402486;19402764	19434341;19434341	-;-	31856	0	0	0	1	0	0	0	0	1	0	0	0
LOC653160	chr1	34975699	34978706	-	3008	40	76	10	29	29	17	50	36	27	45	91	27
RBMY1E	chrY;chrY;chrY	21511378;21880076;21903618	21525786;21894486;21918027	+;-;-	43230	0	0	0	0	0	0	0	0	0	0	0	0
LPIN1	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	11677544;11677544;11677544;11724315;11746632;11746632;11746632;11746632;11746632;11746632;11746632;11746632;11746632;11748533	11827407;11827407;11827407;11827407;11827407;11827407;11827407;11827407;11827407;11827407;11827407;11827407;11827407;11827407	+;+;+;+;+;+;+;+;+;+;+;+;+;+	149864	1970	3379	1654	2468	1736	1596	2002	1469	2121	1801	1965	2756
ZMYM1	chr1;chr1;chr1;chr1;chr1;chr1	35059786;35079363;35079363;35079363;35079363;35079385	35115858;35115858;35115858;35115858;35115858;35115858	+;+;+;+;+;+	56073	229	265	141	233	138	159	242	166	210	214	217	316
HAGLROS	chr2	176178166	176179009	+	844	0	1	1	0	1	0	2	1	1	1	1	2
HAGLR	chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2;chr2	176173189;176173189;176173189;176173189;176173189;176173189;176173189;176173189;176173189;176173189;176173189;176173189	176178129;176178129;176188572;176178129;176178129;176188572;176178129;176188269;176188572;176188958;176188572;176178129	-;-;-;-;-;-;-;-;-;-;-;-	15770	38	21	32	67	26	19	29	23	47	33	49	70
RGS20	chr8;chr8;chr8;chr8;chr8;chr8;chr8	53851795;53851795;53851795;53851795;53880872;53880872;53880872	53959303;53959303;53959303;53959303;53913922;53959304;53959304	+;+;+;+;+;+;+	107510	935	813	232	1116	797	205	1042	439	431	457	896	1340
SNTG1	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	49909796;49909796;49911407;49911407;49911407;49911407;49911407;49911407;49911407;49911407;49911407;49911407;50164131	50709178;50796692;50796692;50709178;50796692;50796692;50796692;50796692;50709178;50796692;50709178;50796692;50709183	+;+;+;+;+;+;+;+;+;+;+;+;+	886897	8846	16452	15856	7982	7359	11669	7816	9327	18676	20516	12100	15760
PRKACB	chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1;chr1	84077975;84078079;84078079;84144271;84144271;84164184;84164184;84164184;84164305;84164305;84164305;84164305;84164305;84164305;84164305;84164640;84164640;84164694;84164694;84164694;84164694;84164694;84164694;84164694;84164694;84164694;84164694;84164694;84164694;84181632	84238498;84205437;84205437;84238498;84205437;84238498;84238498;84238498;84205437;84205437;84205437;84205437;84238498;84205437;84238498;84238498;84238498;84205437;84238498;84205437;84238498;84238498;84205437;84205437;84205437;84205437;84205437;84238498;84205437;84238498	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	160524	3167	4915	3704	2552	1429	2021	3317	2128	7971	4419	3143	4170
CD163L1	chr12;chr12	7354961;7354961	7444185;7444185	-;-	89225	104	161	58	63	69	90	55	63	132	149	76	170
ZMYM4-AS1	chr1	35358824	35366077	-	7254	0	3	2	0	0	2	9	1	1	1	1	5
NFATC4	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix;chr14_KZ208920v1_fix	24366911;24366911;24366911;24368184;24368184;24368998;24368998;24368998;24369082;667889;667889;667889;669162;669162;669976;669976;669976;670060	24379606;24379606;24379606;24379601;24379601;24379604;24379604;24379604;24379606;680582;680582;680582;680579;680579;680582;680582;680582;680582	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	25390	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP44	chr17;chr17;chr17;chr17;chr17;chr17	12789498;12789498;12789498;12789498;12789498;12789498	12991643;12991643;12991643;12991643;12991643;12991643	+;+;+;+;+;+	202146	3185	5467	3346	1974	2685	3645	2767	2657	4251	4212	2792	4122
